nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
되풀이,5년째 이용중인데 정말 너무 편하고 일상룩으로 입기 너무 좋습니다ㅎ,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
시원한라임리젠트,통이 너무 넓지도않고 적당해서 핏이 예뻐요. 그레이도 추가로 구매해요.,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
leejone,길이도 적당하고 핏도 잘 나옵니다. 다만 다른 분들 후기처럼 밑위가 좀 길어요.,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
모에스,애매하긴 한데 입다보면 늘어나겠죠 배송도 빨라요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
레몬낮잠,핏도 스트레이트해서 이쁘고 가격대비 품질도 너무 좋아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
오로로뢰,역시 무탠다드 세일할때 1개씩 미리미리 추가구매해둬유 전투복 추리닝 일상템 아주만족합니다유,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
강현빠덜,"괜춘하네요
애들 편하게 입기좋은 트레이닝바지 입니딘.",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
진98,다른 색상도 가지고 있는데 아이가 검정색도 입고 싶다고 해서 주문했어요.,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
ty701,사이즈 완전 딱 좋아요 맞춤 바지 같아요 ㅎ 편합니다,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
띠로리또르르,가성비 좋은 아이템이라서 재구매 했습니다 편하게 입기 좋아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
하아아아이유,"핏도 예쁘고 편해서 좋아요
잘 산 것 같아요! 간절기에 딱!",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
네버엔딩썸머,세일기간이용해서 샀는데 배송하루 늦었다고 보상도 해주네요.남편이 입어보더니 넘 편하데요,4.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
황홀한런던골프화,하루 배송이라 빨리 받았습니다. 매우 만족합니다,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
감동받은대만웜톤,"가격대비 퀄리티, 스타일이 매우 좋습니다. 일상에서 어떤 옷들과도 너무 잘 어울려서 편합니다.",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
챱찹챱,면도 톡톡하고 편하고 잘 맞아요 사이즈는 조금 크게 나온거 같아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
